2025-06-16 01:42:35,352 - INFO - System Monitor: Starting system monitoring...
2025-06-16 01:42:35,352 - INFO - CPU: Usage: 6.2%
2025-06-16 01:42:35,352 - INFO - Memory: Usage: 47.9%
2025-06-16 01:42:35,517 - INFO - System Info: Hostname: DESKTOP-DOLHM1N
2025-06-16 01:42:35,517 - INFO - System Info: Operating System: Windows 11
2025-06-16 01:42:35,519 - INFO - System Info: Python Version: 3.12.10
2025-06-16 01:42:35,539 - INFO - Network: Bytes Sent: 160247140, Bytes Received: 255615835
2025-06-16 01:42:35,539 - INFO - Software: Running Software:
2025-06-16 01:42:35,550 - INFO - Software: PID: 0, Name: System Idle Process, Username: NT AUTHORITY\SYSTEM
2025-06-16 01:42:35,550 - INFO - Software: PID: 4, Name: System, Username: NT AUTHORITY\SYSTEM
2025-06-16 01:42:35,599 - INFO - Software: PID: 236, Name: , Username: None
2025-06-16 01:42:35,619 - INFO - Software: PID: 280, Name: Registry, Username: None
2025-06-16 01:42:35,629 - INFO - Software: PID: 764, Name: smss.exe, Username: None
2025-06-16 01:42:35,775 - INFO - Software: PID: 836, Name: svchost.exe, Username: None
2025-06-16 01:42:35,785 - INFO - Software: PID: 1020, Name: SearchIndexer.exe, Username: None
2025-06-16 01:42:35,796 - INFO - Software: PID: 1068, Name: svchost.exe, Username: None
2025-06-16 01:42:35,806 - INFO - Software: PID: 1072, Name: svchost.exe, Username: None
2025-06-16 01:42:35,821 - INFO - Software: PID: 1140, Name: svchost.exe, Username: None
2025-06-16 01:42:35,832 - INFO - Software: PID: 1148, Name: svchost.exe, Username: None
2025-06-16 01:42:35,842 - INFO - Software: PID: 1184, Name: svchost.exe, Username: None
2025-06-16 01:42:35,853 - INFO - Software: PID: 1212, Name: csrss.exe, Username: None
2025-06-16 01:42:35,866 - INFO - Software: PID: 1364, Name: wininit.exe, Username: None
2025-06-16 01:42:35,885 - INFO - Software: PID: 1404, Name: svchost.exe, Username: None
2025-06-16 01:42:35,885 - INFO - Software: PID: 1432, Name: chrome.exe, Username: DESKTOP-DOLHM1N\ft
2025-06-16 01:42:35,904 - INFO - Software: PID: 1436, Name: services.exe, Username: None
2025-06-16 01:42:35,926 - INFO - Software: PID: 1448, Name: LsaIso.exe, Username: None
2025-06-16 01:42:35,942 - INFO - Software: PID: 1464, Name: lsass.exe, Username: None
2025-06-16 01:42:35,943 - INFO - Software: PID: 1488, Name: Cursor.exe, Username: DESKTOP-DOLHM1N\ft
2025-06-16 01:42:35,960 - INFO - Software: PID: 1548, Name: warp-svc.exe, Username: None
2025-06-16 01:42:35,964 - INFO - Software: PID: 1604, Name: msedgewebview2.exe, Username: DESKTOP-DOLHM1N\ft
2025-06-16 01:42:35,970 - INFO - Software: PID: 1616, Name: svchost.exe, Username: None
2025-06-16 01:42:35,981 - INFO - Software: PID: 1656, Name: fontdrvhost.exe, Username: None
2025-06-16 01:42:35,981 - INFO - Software: PID: 1716, Name: chrome.exe, Username: DESKTOP-DOLHM1N\ft
2025-06-16 01:42:35,989 - INFO - Software: PID: 1792, Name: svchost.exe, Username: None
2025-06-16 01:42:35,996 - INFO - Software: PID: 1840, Name: svchost.exe, Username: None
2025-06-16 01:42:35,998 - INFO - Software: PID: 1868, Name: msedgewebview2.exe, Username: DESKTOP-DOLHM1N\ft
2025-06-16 01:42:36,005 - INFO - Software: PID: 2068, Name: svchost.exe, Username: None
2025-06-16 01:42:36,013 - INFO - Software: PID: 2124, Name: svchost.exe, Username: None
2025-06-16 01:42:36,022 - INFO - Software: PID: 2132, Name: svchost.exe, Username: None
2025-06-16 01:42:36,032 - INFO - Software: PID: 2144, Name: svchost.exe, Username: None
2025-06-16 01:42:36,040 - INFO - Software: PID: 2204, Name: svchost.exe, Username: None
2025-06-16 01:42:36,048 - INFO - Software: PID: 2220, Name: svchost.exe, Username: None
2025-06-16 01:42:36,057 - INFO - Software: PID: 2380, Name: svchost.exe, Username: None
2025-06-16 01:42:36,066 - INFO - Software: PID: 2400, Name: svchost.exe, Username: None
2025-06-16 01:42:36,074 - INFO - Software: PID: 2444, Name: svchost.exe, Username: None
2025-06-16 01:42:36,082 - INFO - Software: PID: 2536, Name: svchost.exe, Username: None
2025-06-16 01:42:36,090 - INFO - Software: PID: 2612, Name: svchost.exe, Username: None
2025-06-16 01:42:36,094 - INFO - Software: PID: 2676, Name: vmms.exe, Username: None
2025-06-16 01:42:36,094 - INFO - Software: PID: 2780, Name: chrome.exe, Username: DESKTOP-DOLHM1N\ft
2025-06-16 01:42:36,103 - INFO - Software: PID: 2836, Name: svchost.exe, Username: None
2025-06-16 01:42:36,109 - INFO - Software: PID: 2872, Name: svchost.exe, Username: None
2025-06-16 01:42:36,120 - INFO - Software: PID: 2920, Name: NVDisplay.Container.exe, Username: None
2025-06-16 01:42:36,127 - INFO - Software: PID: 2944, Name: svchost.exe, Username: None
2025-06-16 01:42:36,135 - INFO - Software: PID: 3004, Name: svchost.exe, Username: None
2025-06-16 01:42:36,143 - INFO - Software: PID: 3032, Name: amdfendrsr.exe, Username: None
2025-06-16 01:42:36,149 - INFO - Software: PID: 3048, Name: atiesrxx.exe, Username: None
2025-06-16 01:42:36,156 - INFO - Software: PID: 3056, Name: AsusCertService.exe, Username: None
2025-06-16 01:42:36,166 - INFO - Software: PID: 3068, Name: svchost.exe, Username: None
2025-06-16 01:42:36,173 - INFO - Software: PID: 3172, Name: svchost.exe, Username: None
